core_clause_id	fgravegow_clause_id	clause_sha256
66	324	542F1DEADD442577D6B18ACA472442BC2C892079D0AFBC8A451E45ADFEE37812
67	326	0B8952A823DC804DCBA5082010B3918D6B875D1D5989C5723AEB99EB6BF65D91
68	328	C82F25B486BE31CA4309E216F1E8BED79A93314B01F3BCC64EAB8DD2B8CD0775
69	330	D69DEEBC5BDA85BD0C46B230C60D056BB40EACAAEB53D1EDE1497C8B7C70EBF3
70	338	EC4702D3947570A0EB421ADCD003A198603CF8A5CEC0DD50F7C534A53811A8D9
71	342	BC0A1E17BCE62235D72E1A5E83A105E957C3C6D7B0F35DD7C3ADF2BC0377284A
72	344	850754F54E3A66944D9BB2517755859E597CB1650F86CA52F4B577733335052B
73	346	8AEE2C10FBC699A50B1FECB3BBCA6781FCD6FD121CB6A0B4B0E8A4F771F4E69E
74	348	3C1E8EC2175020E31B88803B28E342540F0703D78161EF59FA65E391AA5AB7E8
75	358	C2261D27DA2E6DFE2E84C2C3F805D67907BD452DD12F8AE6D1840D04A2EB390B
76	368	DD6DE0A71961EFBB3A7384BD2817C64161F4C1A8044FA9ACAE2E3B6059E6599F
77	378	8ED7FA34AA2108A43289C7B901E522DAECB2BFA7D7D8A05E7049E6514BDF0790
78	380	522F01DAD7CCB419B2C41F15C688906177C9B80C84A5D8BD4EFFDCA83315EB06
79	388	E015726C80431C17E170F0B95CFFF4DDD46BD233728DFE72167EAB6D836B0120
80	392	32FB6B797BEC80F2A8D9A6D345EAF9D2616E00721FDF3128E7208EB0EA3CB717
81	396	A92FFEEBEA90996B82A61E6E21FF64D048D38770F70FAA99ADA9BD0BC669B4CC
82	398	091B9D7D02ADFE787C7B844EAB46AC1CCE616892FF60FFC52245119A110A14B3
83	400	61E274CA6FDB4E7FE649658946F984A6B0929A3D2085261F8FCDEF093EA8427A
84	401	DDABCA97D040E0FE0C5F83EC7367B415B9770A62285E8B8B3973FE70C1B8CD1D
85	403	4E8D475DF1712C3A31F3920F2E6F55CB31619E02EBFF1B01E6D01FD02A9EEDF4
86	405	474C042319C702894F9A16FF93EF9B266072F7AFE50493C8F46E82077AADD704
87	407	1E5B4EAA12BF5393F5D37E03C23CBC18F0653671FDFE891B1A99345A99A3EDDF
88	439	0FF131E5F68732CD98BDB904997A943849BE7010926ED027D6E8283FA0335300
89	441	92D8EFC1F8354EEDBF55ABF89A256066E6E2B1BCC64B2BD4BBB53C0216C9071A
90	443	023347C7946C572103C43F6E1A1D7ACD9CB187D9053D37407FB7FBBE3B6E1460
91	445	94A19304DEF1A3A640920135BE1BC221BBC9601D4D3E4A9C1AF0E80C25DF4C77
92	447	CD893A031BAC0EC00D3DEAF014C3230F2CD4B081466D29EBD620AD4482B24E53
93	449	33F2036893A5ECF978B1F4AC9E9D104658FE0D67452E4033609C665713EB5B0F
94	469	D373E76749A17A9647C7E5FF51C4B7D8AEC39A9BB664A0A4B3E68FA683551A64
95	471	59175D00CFA7CEC6C4DAF13E824F09F6C410E690B9BF399C95CB51933EEA6A08
96	473	301C25795A1C571293660D5E467953905115AFC1BA5E29510888C484799B3E3D
97	475	AA14A9978495C1471C8A75EBCD49F5FF5DFD1F9D722EA3E80FA8847AF2A10B4D
98	477	DEA91F7C082702B654E275724777EF6CAF23B535CA9446645EBF51138C0AED38
99	479	E5EB0F2D1DBF32260787CD060F881A363634ABFA66EDFAADC16C6A0D65B7977A
100	490	F51CE9AA3239FDA19904615B199D12F8110C9A7C4E7D8373DB21F3C6AC5EFA45
101	492	DF6AC7671C83325492A94BF861AC9E6F54F225A1883E297066CCCC31BEF41A8E
102	494	9BDCBB9C8109061C0F1DB84C385872E1E532CFF8208269BC8C383BD0263C9BE3
103	496	6BAB29E03632EC69B2581DF8C219CFC4E2B6061D37D5C2414993402D0BECD093
104	498	30680AD3B638407544E5F6EAEF7D12CE31B02B3754FC6A36457DFD58355BF584
105	500	9E02D09BC30FB9D4BD6C9C2684E26C0B91B82E933C681690CAD5BCECA84F34B6
106	502	2A5D4C29328FC3F4A917535BB88868683BF0B1E520351A2C1A76D2DD00B2D4D2
107	504	8673E0BC958DB8D3C67749FA74D27DE3852788C9BC1D6A82B3C8332104D531D1
108	506	B1E1BCA6DFA507FA8ACBAF1BA1703F178EA46A570B4005F5E3108C963DF6A825
109	508	2013E4567EA0C89AA9FAD52B5E001F29A2E058823B34BD6493257D8EBCCBC622
110	510	0AA6156292D670C8770E9F4C3636FFE1078A46E1D105B3CAEA4337B0640BC2B5
111	512	920F5F2BAE6BC1AA33DE6189FCC844BFDCF28146498E78459572F089AD4FED28
112	513	7D4C124FBE1503EF24D495309701647B93A26DC666F541E9FC76DE3B54D81DFB
113	540	F46C141E694B653E8BF835AA396413ABB792EDB4DD01934A081E482D9B6AD978
114	542	557D2FA8922C63AD2EEDC8B12B755BB18C1DADD1938414CFFD43221C5EE7B11A
115	544	AAE9CEF65AEDD486BCB8980626AC7E9FCE9DCD26CD457D6A60BC7F4E8C513438
116	546	1A10FA66D735CE892D980BA76769B9EE23D06DE85A2229CC722EA7D0C7F0B16F
117	548	73851D49D96C7DCE724BEDD2A0C3069C7D5B17E002EBF220607D6ADBCCC5D12F
118	550	41B9473664D58CFDD3BAC681889416F77688C3695AED68C29C75B893EF741F85
119	559	10AEB0D778A7767195AF66EE1B4C078CA66C2BBF5D56FE42F3C637066C02BC1C
120	561	A17D573656F4237DCCD865727137615689B309DC6121D6F88C8AC685574A8B28
121	563	781CD7AA642C1458477C44120ED2DDB943AC4D422B3B7F28F17F04AC5B363199
122	565	8C9C2EC23DC331C47662F79F01D3F7E77BDED87020E3EEB6179F46B99B099BE2
123	567	5349A9CF45FDCB9DE82E37525F14DFEAC57321A10EBF49882A226F33D983BAF2
124	569	1AE57E30AD6AA0AE4748F84E61547D1952A1614EE7B206A6A85396CB007E1D76
125	572	51D3CE8990F684830744D25AF197A62B767EB7D2F02D2280AD3328446CED91C6
126	574	E5FAE7D125C473F59F38E3F706AB3875AA60910A951ED572BB808E0EDD33A40C
127	576	05725BB3C8B97F8E46FDB4DEBDD8D33A26A2901140D8B588D0359082122012F2
128	578	AC0A79C85D02C0E07B54A54EE3D04AC90D3815DD0487DF600D66B7B75337792B
129	580	CCFD9DDEE4D82B2E358C44B186450E3DD8ECEBE1EA484DFEEA713725056B68A7
130	582	13112B85B302CD46314B8162EE270C53D1AFEBBCFC2C6C2AC36D349B4FE20858
131	585	F481F3E6B8228160292BBCE64009664A4A69B329FA0684A8550F1E2328C74AC0
132	587	0582A842583D2AD802F003FB670C296DF25EB6C81E047CD77D2A2C2C849F6BF4
133	600	DDA09B2710A4D86A80A5E5BD958CF17EAAE3386715E7BA3FB8B1A5F072937F61
134	602	17080095A3FFE87487C99E825C2239C7D86BED86F84537463C03994BB560A3F8
135	604	A2BF2A68166873C4A4D7652E425769D7979FF30C828C7DB8B410B97AEED48D0A
136	606	E4FEB490075C1FBC515FC68A308E57013439772552B1CCDF5EB570E037994D41
137	608	ACF62497C1489017B2E3768C84D54E3F8718F49DBBE836B9B2504EDFF6D6CE1B
138	610	65DCDA7936AEAFB2FBCE97C7AF91A93D79232970B79DA82758B2668F87A5566C
139	611	4496D782018F401F90CE5B71DDE181CCF5DA71BD63EBE366AC67B200B7E08F05
140	613	705754147022122F495C4A3DA47F4B38817D7AC4EEB35EBA471D57870F24F34B
141	615	F7431A82B8BAD8789A66698B1EEDE84AA7B652D256900DBDDBD1A376B00574A6
142	617	F8CE5612C4587DE00ABCF33C9617BB30D02FE5D1E1D54928DAE43258F95291B6
143	619	A58F28A4735C2AF746D66535EFE26E6612E78D2F9A6949F59E44D6CFC5EC23E2
144	621	F008EE5E24EF265050DCD7FB95D73882497B5D7103B3F8420DAF63778C78AFBE
145	625	8D1EC5A2EE38EC1055962B9A62214B2105EC5090D49F52839C89382363FEC2E1
146	627	3ADEDDF92C42EE759130FD3588861CAE17525E40414D1FAE08F3AD2D5ED6150D
147	628	D0220FDF6C27C4F97986D82C3847505F34D1ABAA0E6657B0F0030B162044EA91
148	629	AA02CDAE63BD59F47EE2A9EFAE045F7A1F2E9781671534235DA003765B807AE8
