core_clause_id	fcuj__clause_id	clause_sha256
58	474	1D05DA5C7C992A7A588C032CA511A1A0461B0A8CEE961DE7B73A502612868C0F
59	476	D34F93CF5BD6ED3D5F569D75B53A779FFF091B51040C191E2670B91F09BDB93F
60	478	AE64E5930D768C654B69FE3A4ADA37EB9E80327225D8918B99762C8CEAF8331F
61	480	D08CACA0EB1C839324A06A65AEDBF402F24206C7E2F78E33BC044A2518557188
62	489	243F770286709A2DCC2149296AB11E8C4EC5C3D62CA0D0C70D9F399B7A59471E
63	499	27BBAD93FEAD10581D687A1AA4AF1E046479F3B45870839DF58AF1A2D2F608E4
64	505	6693839567BE61429B47B62941EDA4289C82C7B05957097707ED80C31CA93F22
65	507	527760F4602DDD8BE9779BFDEF2C26B7BC2AECA7E4E6347265A1E47A5A243497
66	509	5124CE3B412F5FD6CEFA04B1577ADC0DB5B60E744CDCA72AEE698313467602A6
67	511	1FA58A6D4A8B90163CBB04E1B1D8949F07941BC2D08005CA6EF3C7B2410CE8C6
68	515	9714169B7D2C3605C64BA31988C4CFEC81C7C600022FEE5969A06A592DCBEA18
69	517	B45B54E3D04E03F74FCA1DECC4B27DBEF66B1AC9547D6C5360B68ACB5D95F95F
70	519	232F10DFA72B8B7438DFDABA1D4AC933E239EA1483899A4918FDA5694D88C8B8
71	545	AD720A87D7E88AE2BFC205EFF561DE8AAB030C8FCDDB74D1C57166748FDAAA9B
72	547	A8BBD59D7A09B8F17DF225E4D2A5BB0B3228F49895DA610224D0BBB54119F5D9
73	549	5C8D6CCE232988F5A0CCA0905473456739B8EBBCA0461C6E0D575FB19F1F88D6
74	560	06ECE766EBD79521B7992B473043834366E04CAAFE40AA00F37E521D97597275
75	566	5B5D3EE88078D475FDE47DDB13A618E7647146690CE69D07CC6C173F7E0DEA3C
76	568	CD1340E329B86E5500A567472338702F2712E44E1EF2ACEDBFC8767D6D73FFBA
77	570	203FDD97B755DA8D4A6269848E68D4F9CD57EE0CD7E486B836847419FF758F4E
78	579	874BE1CA9D19279448D5BAD2460EEFA6A1C3E9FB647B64F410766149730B0B0E
79	581	1952D91378332D04B386A38B5E0708984E109842377EE7F94E4681E42FD1DB7D
80	599	D0CD6E7D7BF2E8D8BE6B3B27FD32DE7D3F7E91542B02051817C37CC2D24070B9
81	601	9167864B4695B1B3F000904B65D2F197AA9C6FEA3AE0CE29380326ACE78DD7AB
82	603	8D295900DB1B2A25FA7BD98F14EA9A55CF7A0572DAB7D2FA06B69AA9F0C29EDD
83	605	C9C21C6F847A8508795F08C052E2C2C3391613C394D8079E1414F7833739173C
84	614	0F42DAE8D0CB686B7D3CB6DFFCD8ECFCF9CAA9485405BE39071C975452E93C11
85	618	38E7DCE9F3C14D87903EC1ED2B600FBFC812F94B77618F0E79B4554AA0CE978D
86	620	5AA6F172438F4CDF80D31D140AEF4EAB8F4DCC9992358E7BF40004E72C3CBD51
87	632	9DF62D0A91CF5F329FEA68501C47788E856BFBD85BB7E0ADC7F794FB09E28411
88	638	CF9281659B1C3C1668BBA6414148B158210450FBC3A210D3FAEE355E0C958328
89	640	08880C6B3EB6CA44534B79D1FB305A0DD38631CAFAA64BBA1B689CD107C1CD4A
90	642	58483A130CCD4CF6A1B9ABC3F066116E52ECE2145795DA4D3B4B1FD7E9A1FBC4
91	647	28F703220DD4DFDE3FDD785392FD079607EA1FF7F6EE6473175E2346454787E2
92	671	296969866B5A3661CE015C4A397FDD043A4432403A5F87CAFD8B9B568A02696C
93	684	B1AC27857F8E39B1DA279D6D284CDCC0179D7B156D3779FFE0F401D2B50FA125
94	691	B85BD7350343E844B458D9BEB9435780841567DADDEB9B8B6D2CEE840D6AD912
95	696	4584E3DFBB57A7A6146704411C801D480F6D41F5B16605F4DEAD7E325DF5A4F7
