core_clause_id	master8_clause_id	clause_sha256
65	270	49086E1B7CABC3619B1612E9B44FA556C1F3C22979B9F6C4AA47D2C08D3E5957
66	272	7EB1593EE162EE4A2EA50257CFE2CE2476F6B63A49F60E2CEFE3BC3E933B0188
67	274	975EE17DF5CD2A8078D7A4CCDC803915CC53A41C521D79FA6E454853AF435DBB
68	276	AC3958A97654ECC1CD6850FA42B24636D787F9FBF1B9978375DEB30878A08391
69	278	14510B04CB6E6D8874526CEA8F7E4B20C9BBC84C212E0E92DEA8AF60FD514849
70	280	D13435154BDDE78C89EAE74E4998920FED75DDB74A6DBFA605951F21D3D7F4F5
71	284	FE55200EBFF785369A74DD403FBC3C228D3D584E0310B13E78189ADAD70C9824
72	286	729F5EE595054FD3CE3AF363239558DC7C69649B323DD70228BDBD3269947AB1
73	290	CF4A562509B22D10F751C4C41FC6E266B0C6BB4C009646D1B738B5EEF222052E
74	298	6914DE20A6DD8276C9B14C2C13D57BF96C3FF6871D62982BEA2E5FE81A38FD21
75	300	F50A9F559890997C3886C64E1186F7524B610308F0735DC31B2322103D07AEEB
76	302	C9084E24FAADF2561D9AD41F6A5461F2CDEAB7071E966EF189E5CD1E9D4EC23D
77	304	320DD3763398CF82F8BAD05C8BACE607D13A178D000CB36C0FEDE23C26805599
78	308	BA76F4A492536331747A6459E131601DC8E7D218575DF9CE5AD8049E28C462BF
79	310	3FEE32E593025A0FD6E33023C0E30DD8DA8F9AF023B5E2F5D5032AE357F1199C
80	312	A27317366F74F36E98EA17195BA0EC731442F5EAF6A75E872E925D577D6ACFA8
81	314	512410977E476835EAB486EB7C0790B81CA763B394468F4F151C14B14C604E8A
82	316	2F20CD489F82501A93F2365D89FDA9A7B9D49C72F7922BEC205C8BCBB5A23381
83	318	3C716A659F0C46AF6F16CD834E8A60B54CC9F300477DCCCE0A30F3C8BDA99BE5
84	320	853B21F0BDEA864915FD849B3B892C55B9631DCBB5E543CB216C82EFBD34B76A
85	322	51DE65F7FEEAB6D6A5C5E834D89F62810BF7D2D5A3CC3553CB108C49326D1312
86	324	542F1DEADD442577D6B18ACA472442BC2C892079D0AFBC8A451E45ADFEE37812
87	326	0B8952A823DC804DCBA5082010B3918D6B875D1D5989C5723AEB99EB6BF65D91
88	328	C82F25B486BE31CA4309E216F1E8BED79A93314B01F3BCC64EAB8DD2B8CD0775
89	332	74FC6DD4CCA8F0E9A258CCAC16430461AFC793AC56183F02909ADEF58EDF0793
90	348	3C1E8EC2175020E31B88803B28E342540F0703D78161EF59FA65E391AA5AB7E8
91	352	784911A7D1AFD01BDBFDD25C0D9820303EC3599C028E309A5EAE9DB614BA3CE2
92	356	9643930266F17A9E57A537BA8658CD1157D53BD72C7A9AF2D0FA08E324217A02
93	358	C2261D27DA2E6DFE2E84C2C3F805D67907BD452DD12F8AE6D1840D04A2EB390B
94	362	294E0404D04EB509691423955E6867070F6CFE63A74E718AA4BC51AC892BC0AF
95	365	5C1AB46C4C5420915BFAFD43327E82CD3A9196E4DF72861DE02A3393E938C9AB
96	367	124E55BF333B4814EE5D07DB4D4AB41B1555F2BCC2B009F791D825B0FA35C85A
97	371	756A6CEEF973C00DD8D482AFCADB7812BCAE9F199C5CEA5E82F651E32342B4BF
98	372	F936741401456F459957DD258E1FFF117833420ED6B915E6264C903CEC7ADCD2
99	374	DB228F3EEDCF169A42D87878B79907234C3B978B44E25C5FE41E087F66CD9C46
100	375	A214DEAF1DC89914BD5BB2425A6C7BFC0C9FC197619B7CF8D590F292432FC239
101	376	6B9FAC1AD7F4EC9383045784472B2EFE2CFDADA97F7F97A8F2985D82D6C5AD4E
102	378	8ED7FA34AA2108A43289C7B901E522DAECB2BFA7D7D8A05E7049E6514BDF0790
103	382	4193486FA2788B75CC3FF625A62F9EDBFFAA6A975CA4FC25BABBF17D29932888
104	383	26BFE48ABF5A56CAA1F27325D75C58D53A8964E305B60075F8D01C35918A09EA
105	385	FFE12BA99371A9E756BF6283E41F24E0CB0319A6EED385EBC661D26677C52463
106	390	969FDFA3AB5F681A0065B00D052C62B5CCF087AC584D294B5189E9A5192820AD
107	394	DF6BC1E6C3BCD9CE80FFCA0A7FED8B2BC1FFE343998820789EAB6B7C016BCBC1
108	395	E5462572798186B61C7273EEB1C240326116E91911E68E4E0B78140FD081A95F
109	397	D5A1FE99674A192804211FE68D650D7BA850B45E7108F262C636C6BE7BBA34C0
110	399	90CE1E973F23B959E5918403EB000B5BB87291DD13113729DC3F768D0F4A47EB
111	403	4E8D475DF1712C3A31F3920F2E6F55CB31619E02EBFF1B01E6D01FD02A9EEDF4
112	405	474C042319C702894F9A16FF93EF9B266072F7AFE50493C8F46E82077AADD704
113	410	ECF68E2E26FD8CF30A678A39FC085FD19EDD767D6C1DFC945215625000F19618
114	412	2701B76A3C31D12B1687B035A78BBA8CAE2AFC9684A11A1F40ACF25159A41B2D
115	414	6A1E891BAF92F4633E7DF3026326A1BA556BE9C5C83559E7D26774645FD2C153
116	416	F436979B4600BFF85714E4B0F142AA8B5F3C6ADFF70891E15A7261E0D5DFA12D
117	420	B0D6A584AC9426E0993E5B21D4E733FA1B2142C345803765ED221E89B2B9373F
118	422	5E563C9B3CF9F1587F889E84BCA4C8F759A2DB7AA7B246FAB4E17CE9CE044FF3
119	424	216E9EC6E691EF98090EAA3CF68A773CCBACD75D59B78E3F71F1156B13773AEA
120	426	D5CDC4437FBE2FFC21728B5550A497303FA3B632C8CE5BD96C35D9C0DD9EDC4C
121	430	4996AEA155E1C5737F12EF6D6A0D3F064D4E94C25D30B19B97F6A1158315A744
122	432	767FA3DBFF217506CD7E51E6EAD453E6128D76F3B7FECBAE900A8B021E5024E7
123	434	76C5ACCD3CEEB6055C7A549359AD6B2A6C04D51D1BAB00614D40C4EAFAA766E9
124	436	8E06B7E6909D4C0BA591F8EE8B91293879EADB44A7CB36CAD5E58DF6C1E7B456
125	438	682DDDC0E2A74081C0B1D9870E5CEFA5895D41526B4CB2A9EE79903FFD50483D
126	440	9A58D1B885D99E5039F7CEF03833876DAF2DD08835B6A56C4BC33790C70C4F28
127	442	87E6FA2FA63EB83573C320A3A5AD9BFB8605C6F61B2C8FB3077423931A2EE1CF
128	444	88C7E4F5B892C1BDD958EBD91B6AA4958CE1EC4D544D22DAE1A1B69EA6333B53
129	456	5CBE7403B0DB36EA662E9BDC446499AC05B583671F6403FE0DE5490AD16016B8
130	459	F2B3FBFF656F906E40CFF5CAC83CCB748CBD4BE2324D20824AE858804342FFB5
131	460	B6A90886F01D0B2FB7997C438D7ACC6D264EF16EE2918E45BFE5A878D703AD94
132	462	68777CA5F945870268547A20B16DABF07A0394C5098631ADDD0A62469CDFC1AF
133	463	DAF27F12E211432A391BBCE6D6B31588C4C6780D8FA87ABB22E5C59EC8A04159
134	464	AE713010918BC8B0DB98A938901688FBA4B609A220CB52AA82E65B7649B80B2E
135	468	ED7B20E877BE38A02EB06A4AFE07E14F0A7474310BEED8A295399231E5F961AC
136	469	D373E76749A17A9647C7E5FF51C4B7D8AEC39A9BB664A0A4B3E68FA683551A64
137	470	C78A1EFCA2E1D3DB8C01B12A41EAC2A9DD4709597E6BFD03B111573ACB66ABFE
138	472	D9E0646B8290BE0BBD4E60454FC556A10C1F3113014F1F40E534C6A1BBAC69D4
139	474	1D05DA5C7C992A7A588C032CA511A1A0461B0A8CEE961DE7B73A502612868C0F
